model,keywords
NMF,"['sempre', 'ajudar', 'disposto', 'duvir', 'duvida', 'prestativo', 'presente', 'claro', 'dedicar', 'tirar', 'materia', 'esclarecer', 'objetiva', 'buscar', 'trazer']"
NMF,"['conhecimento', 'geral', 'assunto', 'ministrar', 'comentario', 'amplo', 'saber', 'tanto', 'estudo', 'areo', 'profundo', 'interessar', 'aprofundar', 'aceitavel', 'positivo']"
NMF,"['faltar', 'aulo', 'sala', 'comunicacao', 'experiencia', 'avisar', 'pontual', 'dentro', 'de aquilo', 'visto', 'dificilmente', 'apresentar', 'questoes', 'pessoal', 'compromisso']"
BERTopic,"['excelente', 'didatica', 'bem', 'boa', 'otimo', 'bom', 'duvidas', 'otima', 'assunto', 'conteudo', 'explica', 'sobre', 'melhor', 'aprendizado', 'clara']"
BERTopic,"['conteudo', 'prova', 'didatica', 'tempo', 'sala', 'vezes', 'falta', 'alem', 'ensino', 'passou', 'pouco', 'apenas', 'assunto', 'ainda', 'acompanhar']"
BERTopic,"['avaliacao', 'provas', 'avaliacoes', 'metodo', 'bem', 'poderia', 'eno', 'desenvolvimento', 'papel', 'final', 'formas', 'correcao', 'notas', 'trabalho', 'producao']"
BERTopic,"['dominio', 'assunto', 'dia', 'sobre', 'sabe', 'conhecimento', 'area', 'novas', 'bem', 'conteudo', 'tecnologias', 'conhece', 'bastante', 'explica', 'conhecimentos']"
BERTopic,"['disciplinas', 'alguns', 'dificuldades', 'apesar', 'geral', 'cirurgia', 'pegadinhas', 'defeito', 'greve', 'proveitoso', 'bom', 'sinceramente', 'faltou', 'final', 'primeira']"
BERTopic,"['profissional', 'impecaveis', 'qualifiquado', 'divertido', 'ok', 'regular', 'maravilhoso', 'bom', 'senhor', 'nome', 'maravilhosa', 'presente', 'horrivel', 'parece', 'excelente']"
BERTopic,"['nada', 'aderiu', 'ocorreu', 'nen', 'declarar', 'consta', 'nome', 'social', 'erro', 'momento', 'avaliar', 'fez', 'nota', 'deixou', 'melhor']"
BERTopic,"['cedo', 'horario', 'atrasos', 'pontual', 'horarios', 'cumpre', 'alguns', 'demais', 'aberto', 'descontraido', 'arrogante', 'chega', 'arbitrario', 'chuvoso', 'facilita']"
BERTopic,"['comentarios', 'serao', 'lidos', 'comentario', 'comentar', 'positivos', 'negativos', 'nunca', 'nada', '', '', '', '', '', '']"
BERTopic,"['frequentei', 'motivos', 'itens', 'tranco', 'comparecer', 'questionario', 'habilitado', 'particulares', 'saude', 'assistir', 'ausente', 'ultimo', 'motivo', 'conseguir', 'dois']"
BERTopic,"['tarefas', 'slides', 'vice', 'correta', 'explicavamos', 'influenciou', 'versa', 'perguntava', 'portugol', 'entregava', 'portuguesa', 'trazia', 'dominio', 'portugues', 'python']"
BERTopic,"['sigaa', 'br', 'sair', 'idioma', 'pq', 'disse', 'transporte', 'reconheceram', 'introdiscente', 'cultura', 'secretaria', 'reprovados', 'mandar', 'quiser', 'revisao']"
BERTopic,"['humilde', 'esforcado', 'parabens', 'saudades', 'embasado', 'solicito', 'solicita', 'querido', 'deixar', 'vai', 'dedicado', '', '', '', '']"
