keywords;docs
['conteudo', 'prova', 'sala', 'avaliacao', 'alem', 'provas', 'passou', 'ensino', 'falta', 'pouco', 'apenas', 'trabalhos', 'didatica', 'tempo', 'vezes'];"['professor ausente totalmente antiprofissional sem competencia nenhuma para ministrar as aulas sumiu por um bom tempo durante o semestre nao deu apoio ou tirou duvidas nao ministrou seu conteudo de forma adequada passou apenas uma prova e nao liberou notas apenas o conceito final nao falou seu criterio de aprovacao e muito menos seu criterio de reprovacao deixando seus alunos perdidos e sem direcionamento pessimo', 'professor extremamente despreparado que prejudicou a inteira respondia as duvidas alunos com deboche alem de passar uma unica prova no semestre a qual nao condizia com os assuntos ministrados em aula nesta prova em questao mais de da prova tirou zero absoluto a maior nota da sala foi sendo que a prava valia pontos resultado ninguem conseguiu tirar conceito excelente no final professor absolutamente inflexivel que nao tem nenhuma empatia pelos problemas alunos sendo que muitos trabalham o dia todo e tem muita dificuldade em acompanhar as aulas', 'praticamente nao ministrou conteudo passou grande parte do semestre abordando sobre um trabalho deixando prazos nao definidos se comunicando de maneira nao muito clara com os alunos e ao final desse trabalho acabou cancelando pouco tempo depois passou uma prova com questoes com base em um livro de cerca de paginas para os alunos lerem em semanas porem nem foi no horario de sua aula monitorar a prova alem disso nao revelou a maneira como avaliou a prova resultando na reprovacao de quase metade da mesmo com a possibilidade de ter havido injustica nos criterios .""']"
['horario', 'vezes', 'motivos', 'alguns', 'tempo', 'muitas', 'demais', 'faltou', 'rapido', 'onibus', 'noite', 'trabalho', 'muitos', 'pontual', 'sao'];['a respeito da localizacao das salas o trajeto feito entre as aulas para mudar de muitas vezes faz o aluno chegar atrasado na sua proxima aula por conta da distancia como por exemplo uma aula no labtic e logo em seguida outra aula no mirante colocar as aulas em salas mais proximas poderia ajudar o aluno a se locomover mais rapido e assim ser pontual a higienizacao regular e reforma banheiros institutos tambem e de extrema importancia pois a maioria deles esta funcionando em condicoes insalubres com vazamentos pisos quebrados sem pia ou sem descarga', 'falta os professores terem um plano disciplinar para os alunos com deficiente pq muitas vezes temos que nos virar e com nao conseguimos ter um bom acompanhamento como os demais ainda mais quando os laboratorios nao tem os recursos nescessario para atender a no meu caso como sou deficiente visual os professores dao aula sem da muito destalhes nescessario como quando tem imagem no slide como se a gente nao estivesse la de qualquer forma e maior constrangedor pq ao menos tempo parece q a gente atrapalha a aula quando perguntamos algo e muitas vezes o proprio professor nao sabe explica', 'semestre foi cansativo no geral muitos trabalhos de seminario apesar de gostar pra fazer no perido da noite e muito ruim e dificil organizar a galera da noite pois trabalham e quase nao tem tempo de fazer algo digno a correria foi grande em eles fora o parecer de que uns nao estavam afim de fazer e desenvolver o trabalho solicitado pelos professores entendo a importancia seminarios mas e algo que cansa so de ouvir na hora porque particulamente os demais discentes colocam o trabalho todo em uma pessoa e acaba desgastando bastante']
['dominio', 'assunto', 'conteudo', 'bastante', 'dia', 'sobre', 'bem', 'passa', 'conhecimento', 'ministrado', 'area', 'assuntos', 'novas', 'contextualizadas', 'otimas'];['muito dominio da materia', 'excelente aula didatica dominio do assunto ministrado', 'tem dominio do assunto']
['didatica', 'pouco', 'excelente', 'intransigente', 'finge', 'didatico', 'desorganizado', 'pessima', 'pontos', 'extremamente', 'sabe', 'bastante', 'irreais', 'ne', 'explosivo'];['excelente didatica !!', 'didatica excelente', 'excelente didatica']
['disciplinas', 'alguns', 'bom', 'dificuldades', 'apesar', 'greve', 'proveitoso', 'sinceramente', 'otimos', 'materias', 'repassar', 'apos', 'vez', 'geral', 'infelizmente'];"['a faculdade atrasou a alocacao de alguns professores atrapalhando o plano de ensino das disciplinas alias eventual certa falta de comunicacao com os discentes no mais apesar de alguns professores foi um bom semestre', 'semestre sinceramente fraco so estudei disciplinas que nao vao agregar em nada minha carreira somente as cumpri para contabilizar carga horaria parabens ufpa da proxima vez que forem criar um curso de grauacao de exatas lembrem de fechar a porta antes do rapaz de humanas entrar ;)', 'o semestre foi bem complicado por conta da greve apos o encerramento da mesma as disciplinas foram muito corridas e no final do semestre estava tudo tumultuado de atividades e provas tive dificuldades em compreender a disciplina de sistemas operacionais pois o professor e estrangeiro o semestre comecou e nao tinhamos professor para a disciplina de banco de dados so fomos ter apos a greve um professor que estava dando aula pela primeira vez contudo o professor conseguiu ministrar as aulas e repassar o conteudo']"
['avaliacao', 'avaliacoes', 'poderia', 'correcao', 'claro', 'corrigidas', 'incluido', 'discursivas', 'metodo', 'confusa', 'apenas', 'deixou', 'en', 'provas', 'formas'];['a avaliacoes foram confusas entendimento das questoes e o criterio de correcao nao eram em claros e explicados de forma satisfatoria', 'apenas um ponto negativo relacionado com o metodo de avaliacao colocou algumas questoes de assuntos nao muito bem aprofundados ao longo temas da disciplina de calculo', 'a unica coisa que deixou a desejar foi nao ter explicado seu metodos de avalicoes e nos mostrar a ementa que usaria como material didatico deixando assim uma icognita para nos estudantes e na avaliacao nao deixava claro no que fomos bons ou ruins apenas deu o conceito no final do semestre apenas isso nunca irei saber qual nota recebi nas avaliacoes fora esse detalhe que facil se corrige ele e bom em tudo']
['sempre', 'atencioso', 'disposto', 'solicita', 'humilde', 'esforcado', 'parabens', 'prestativo', 'ajudar', 'bem', 'entenderam', 'engajado', 'disciplinado', 'autamente', 'arbitrario'];['sempre disposto a ajudar e esclarecer duvidas', 'atencioso e sempre disposto a tirar duvidas', 'prestativo e sempre bem disposto a ajuda os alunoas bem informa do sempre trasendo novos videos para melhorar o aprendisado']
['nada', 'aderiu', 'consta', 'declarar', 'chega', 'nen', 'ocorreu', 'cedo', 'erro', 'social', 'nome', 'momento', 'avaliar', 'fez', 'nota'];['nao consta', 'nada', 'nada a declarar']
['profissional', 'ok', 'impecaveis', 'qualifiquado', 'divertido', 'xxxxxxxxxxxx', 'regular', 'maravilhoso', 'maravilhosa', 'presente', 'objetivo', 'nome', 'senhor', 'bom', 'horrivel'];['regular', 'maravilhoso', 'impecaveis']
['comentarios', 'ofensivos', 'comentario', 'lidos', 'comentar', 'serao', 'positivos', 'negativos', 'desnecessarios', 'nunca', 'outra', 'tanto', 'nada', 'hora', ''];['comentarios que nunca serao lidos', 'hora ou outra com comentarios desnecessarios e tanto ofensivos', 'sem comentarios']
['melhorar', 'precisa', 'deixar', 'didatica', 'experiencia', 'interesse', 'amor', 'atrair', 'ganhe', 'ramo', 'jeito', 'interresante', 'evolua', 'exforcou', 'conteudista'];['precisa melhorar sua didatica deixar mais claro o conteudo', 'precisa melhorar muito sua didatica', 'mas precisa de mais experiencia e melhorar na didatica lecionou uma materia muito conteudista se exforcou pra deixar interresante com algumas dinamicas diferentes eu espero muito que ele evolua muito porque tem amor pela computacao e um querido']
['sexo', 'comentarios', 'sexuais', 'ex', 'sexual', 'desnecessarios', 'abordava', 'faz', 'sobre', 'abuso', 'acerca', 'certos', 'aproximacao', 'exigindo', 'individuo'];"['faz comentarios sexuais desnecessarios durante sala de aula', 'algumas piadas ou comentarios que foram feitas pelo professor em sala sao desnecessarios comentarios e perguntas de cunho sexual em meio ao assunto que deixa os alunos desconfortaveis do tipo quantas vezes voce faz sexo na semana ?"" ou perguntar pra alguma das meninas se elas sabem sobre sexo .""', 'certos momentos em que deixou a em situacao desconfortavel fosse da maneira como se dirigiu a um a aluno a ), ex esse rapaz tem cara de quem consome pornografia "", fosse assuntos que abordava ex se determinado individuo sofrer abuso sexual na infancia [...]"". ainda que esse ultimo tivesse como contexto um exemplo acerca do assunto do momento esse e um tema que pode ser delicado para alguns exigindo certa aproximacao razoavel alem disso toda aula abordava temas sexuais mesmo quando nao tao necessario para o conteudo .""']"
['slides', 'portugues', 'completo', 'tarefas', 'dominio', 'explicavamos', 'influenciou', 'portugol', 'transporte', 'portuguesa', 'mandar', 'gastariamos', 'entregava', 'correta', 'perguntava'];['pessimo professor didatica se era p ler slides era so mandar no sigaa e nao gastariamos dinheiro com transporte', 'por ser estrangeiro apresentou alguma dificuldade com a lingua portuguesa entretanto isso nao influenciou no aprendizado uma vez que ao nao compreender o que o aluno falava perguntava e explicavamos a palavra e vice versa', 'professor nao sabe elaborar slides conteudo e nem tarefas nao soube transmitir o conteudo com clareza e quando explicava as tarefas trazia mais duvidas do que respostas nao entregava os trabalhos para a gente se foi feita uma correcao de forma correta passava slides em ingles sendo que boa parte da nao tinha completo dominio do idioma']
